"species","completeness","contamination","N50","size"
"Prevotella_nigrescens",63.65,8.771,7880,1957636
"Streptococcus_constellatus",98.25,11.25,18256,1952011
"Streptococcus_mitis",97.13,0.969,51512,1950398
"Veillonella_parvula",92.53,3.776,7272,1925833
"Streptococcus_anginosus",99.29,0.975,98079,1862391
"Fusobacterium_SGB6013",56.66,3.803,12167,1825514
"Prevotella_intermedia",83.32,2.871,5619,1822193
"Aggregatibacter_segnis",90.46,0.587,50536,1819382
"Treponema_maltophilum",79.56,1.073,3970,1814578
"Prevotella_veroralis",55.17,10.34,2513,1810951
"Campylobacter_ureolyticus",98.95,0,125049,1775584
"Solobacterium_moorei",71.24,15.2,2458,1721957
"Campylobacter_ureolyticus",94.89,0.184,230643,1721109
"Gemella_morbillorum",95.83,5.943,7777,1682736
"Prevotella_pallens",67.6,1.587,4980,1681992
"Catonella_SGB4505",43.85,8.771,2584,1660376
"Prevotella_loescheii",44.17,1.013,2501,1659108
"Treponema_SGB3588",66.11,0.699,5229,1656990
"Aerococcus_christensenii",93.96,0.595,23483,1589631
"Fusobacterium_SGB6013",58.24,3.448,4984,1523893
"Porphyromonas_gingivalis",77.07,2.594,3440,1503882
"Fusobacterium_naviforme",50.87,1.392,2753,1454563
"Leptotrichia_trevisanii",53.1,1.753,2816,1413633
"Campylobacter_concisus",81.98,1.111,3676,1404627
"Treponema_vincentii",59.69,0.268,3412,1376816
"Porphyromonas_endodontalis",74.15,0.331,4263,1371859
"Lactobacillus_gasseri",51.37,11.88,3007,1295406
"Tannerella_SGB2054",28.37,0.153,6248,1216697
"Veillonella_atypica",50.87,3.605,3786,1214598
"Fusobacterium_canifelinum",53.91,3.448,81660,1190865
"Prevotella_salivae",32.05,1.724,2478,1183737
"Peptostreptococcus_stomatis",56.81,10.25,2877,1157758
"Atopobium_SGB975",66.92,2.419,3599,1135916
"Atopobium_minutum",65.95,1.075,3784,1069965
"Dialister_micraerophilus",69.99,1.117,5481,884280
"Anaerococcus_tetradius",41.21,0.124,2509,877535
"Leptotrichia_SGB6055",22.49,0,2543,677634
"Catonella_morbi",13.95,0,12344,584123
"Eikenella_corrodens",15.27,0.073,2132,583170
"Roseburia_inulinivorans",11.14,0,2070,505273
"Treponema_SGB3585",16.92,0,1997,465561
"Mycobacterium_conspicuum",6.034,0,1845,448604
"Porphyromonas_endodontalis",9.482,0,3097,330482
"Bacteroides_SGB58501",0,0,2478,303164
"Capnocytophaga_sputigena",0,0,3355,301528
"Anaerococcus_hydrogenalis",21.47,0,2100,288998
"Ruminococcus_torques",4.166,0,2155,243423
"Lactobacillus_kitasatonis",9.247,0,1971,238803
"Ruminococcus_SGB26863",9.352,0,2002,213973
"Oribacterium_SGB5287",10.34,0,1840,197991
"Bacteroides_fragilis",0,0,5524,196180
"Fusobacterium_necrophorum",8.62,0,124602,170656
"Aggregatibacter_segnis",0,0,84396,159368
"Treponema_maltophilum",0,0,3382,149930
"Porphyromonas_SGB1992",3.827,0,1831,124603
"Prevotella_jejuni",0,0,2700,120889
"Porphyromonas_SGB2015",0,0,3342,111399
"Staphylococcus_epidermidis",0.47,0,1814,104072
"Paracoccus_denitrificans",0,0,1784,100006
"Alcanivorax_venustensis",0,0,1823,99601
"Leptotrichia_wadei",2.037,0,2045,98713
"Haemophilus_quentini",0,0,3519,98710
"Capnocytophaga_gingivalis",0.689,0,1905,88341
"Prevotella_sp_oral_taxon_376",0,0,8992,83489
"Capnocytophaga_SGB2496",0,0,3638,78376
"Parabacteroides_distasonis",4.166,0,1662,77429
"Campylobacter_SGB19432",0,0,2195,75946
"Campylobacter_showae",0,0,1844,72518
"Campylobacter_hominis",8.333,0,1806,71985
"Fusobacterium_SGB6004",0.626,0,2332,68315
"Bifidobacterium_longum",0,0,2004,67589
"Hymenobacter_SGB45471",0,0,2439,65510
"Treponema_SGB3590",0,0,3482,60088
"Fusobacterium_sp_oral_taxon_370",0,0,2729,57390
"Pseudomonas_aeruginosa",0,0,12243,55002
"Morganella_morganii",0,0,2165,52158
"Roseburia_SGB26940",0,0,2992,48947
"Anaerococcus_prevotii",0,0,17688,48401
"Treponema_medium",0,0,2639,46060
"Campylobacter_corcagiensis",0,0,4340,45956
"Selenomonas_infelix",0,0,5815,45372
"Acinetobacter_towneri",0,0,8932,44271
"Lachnoanaerobaculum_SGB4495",0,0,1784,43688
"Peptostreptococcus_stomatis",0,0,3647,41087
"Streptococcus_SGB8148",0,0,2310,38073
"Streptococcus_constellatus",0,0,2331,37349
"Oribacterium_SGB5284",0,0,5633,35304
"Pseudomonas_sp_JGI_0001012_A11",0,0,2360,34689
"Streptococcus_mitis",0,0,34212,34212
"Prevotella_veroralis",0,0,1882,32695
"Geobacillus_subterraneus",0,0,1574,30081
"Prevotella_SGB1460",0,0,1873,29099
"Porphyromonas_SGB2042",2.194,0,1795,28011
"Treponema_SGB3588",0,0,10568,27579
"Prevotella_SGB1649",0,0,2691,27284
"Prevotella_pallens",0,0,26087,26087
"Haemophilus_haemolyticus",0,0,2136,24942
"Dialister_SGB5841",0,0,12367,24502
"Porphyromonas_uenonis",0,0,15997,24323
"Halomonas_gudaonensis",0,0,2082,23933
"Solobacterium_SGB6829",0,0,1672,23218
"Peptostreptococcus_sp_D1",0,0,14313,22706
"Treponema_sp_OMZ_838",0,0,17461,22240
"Veillonella_parvula",0,0,19627,21453
"Leptotrichia_SGB6071",0,0,11727,20973
"Peptoniphilus_indolicus",0,0,7582,20791
"Fusobacterium_SGB6003",0,0,5421,20545
"Streptococcus_massiliensis",0,0,16394,19832
"Prevotella_sp_F0091",0,0,2061,19395
"Treponema_SGB3604",0,0,2345,18831
"Leptotrichia_trevisanii",0,0,2079,18740
"Oribacterium_SGB5273",0,0,9401,17994
"Methylobacterium_sp_Leaf123",0,0,2447,17946
"Fusobacterium_SGB5998",0,0,1731,16549
"Fusobacterium_SGB6016",0,0,1714,15757
"Prevotella_sp_HUN102",0,0,9764,14601
"Lachnoanaerobaculum_SGB4489",0,0,3902,14574
"Treponema_putidum",0,0,2484,14311
"Capnocytophaga_sp_oral_taxon_863",0,0,3499,13902
"Parvimonas_sp_oral_taxon_110",0,0,7008,13076
"Prevotella_oris",0,0,1831,13028
"Campylobacter_blaseri",0,0,1920,12635
"Prevotella_sp_oral_taxon_820",0,0,3159,12449
"Treponema_SGB3615",0,0,3217,12050
"Fusobacterium_nucleatum",0,0,2543,12018
"Lactobacillus_gallinarum",0,0,1901,11983
"Bacteroides_heparinolyticus",0,0,6122,11645
"Lachnoanaerobaculum_SGB4488",0,0,7782,11490
"Prevotella_marshii",0,0,4654,11370
"Brevundimonas_mediterranea",0,0,2075,11074
"Prevotella_enoeca",0,0,5647,10664
"Veillonella_SGB6948",0,0,2316,10520
"Prevotella_fusca",0,0,3002,10237
"Parvimonas_sp_oral_taxon_393",0,0,1784,10061
"Prevotella_falsenii",0,0,5667,10048
"Peptostreptococcus_sp_MV1",0,0,9826,9826
"Fusobacterium_SGB5999",0,0,1844,9572
"Peptoniphilus_SGB6695",0,0,2922,9497
"Solobacterium_SGB6831",0,0,1746,9460
"Peptostreptococcus_SGB749",0,0,1821,9058
"Veillonella_SGB6944",0,0,2914,8945
"Acinetobacter_defluvii",0,0,3315,8819
"Aerococcus_christensenii",0,0,5749,8430
"Clostridium_cochlearium",0,0,8121,8121
"Clostridium_colicanis",0,0,2159,7945
"Treponema_vincentii",0,0,2848,7879
"Treponema_SGB3605",0,0,2940,7865
"Fusobacterium_canifelinum",0,0,3909,7644
"Prevotella_SGB1513",0,0,2219,7552
"Actinomyces_SGB17160",0,0,5339,7180
"Peptoniphilus_harei",0,0,3635,6985
"Streptococcus_SGB8173",0,0,6857,6857
"Bacillus_jeddahensis",0,0,2152,6831
"Bifidobacterium_magnum",0,0,6717,6717
"Prevotella_SGB1546",0,0,4376,6708
"Lachnoanaerobaculum_SGB4487",0,0,6389,6389
"Gemella_SGB7297",0,0,4419,6352
"Veillonella_SGB6937",0,0,3660,5654
"Bacteroides_SGB1876",0,0,5623,5623
"Fusobacterium_SGB6012",0,0,1952,5611
"Acinetobacter_SGB10399",0,0,1633,5476
"Treponema_SGB3586",0,0,3672,5394
"Pseudomonas_putida",0,0,2847,5382
"Dialister_micraerophilus",0.47,0,2727,5229
"Campylobacter_SGB19343",0,0,3541,5108
"Lactobacillus_nantensis",0,0,2971,5098
"Gordonia_kroppenstedtii",0,0,3209,5083
"Peptoniphilus_asaccharolyticus",0,0,5069,5069
"Treponema_pedis",0,0,5064,5064
"Streptococcus_pneumoniae",0,0,1645,5031
"Bacteroides_uniformis",0,0,4985,4985
"Bacteroides_zoogleoformans",0,0,4935,4935
"Enterobacter_cloacae",0,0,2708,4917
"Treponema_socranskii",0,0,3095,4877
"Flavobacterium_crocinum",0,0,3111,4848
"Oribacterium_SGB5277",0,0,2993,4798
"Paracoccus_sp_J56",0,0,1570,4731
"Actinomyces_graevenitzii",0,0,1534,4722
"Treponema_pallidum",0,0,4679,4679
"Acinetobacter_sp_NCu2D_2",0,0,2621,4507
"Capnocytophaga_sp_ChDC_OS43",0,0,2289,4433
"Gemella_SGB7306",0,0,4351,4351
"Haemophilus_SGB9708",0,0,2581,4350
"Streptococcus_SGB8113",0,0,2737,4336
"Propionimicrobium_sp_Marseille_P3275",0,0,4240,4240
"Prevotella_scopos",0,0,4161,4161
"Fusobacterium_SGB6013",0,0,4151,4151
"Gemella_SGB7307",0,0,4109,4109
"Prevotella_SGB1518",0,0,2433,4105
"Mogibacterium_pumilum",0,0,2052,4069
"Prevotella_intermedia",0,0,2503,4066
"Flavobacterium_antarcticum",0,0,2295,3974
"Prevotella_SGB1553",0,0,3973,3973
"Pseudomonas_sp_T",0,0,2201,3941
"Lachnoanaerobaculum_SGB4491",0,0,3918,3918
"Devosia_soli",0,0,2305,3904
"Prevotella_bivia",0,0,2202,3899
"Pseudoalteromonas_SGB57956",0,0,2093,3740
"Flexibacter_sp_ATCC_35103",0,0,3673,3673
"Corynebacterium_pyruviciproducens",0,0,2049,3612
"Prevotella_baroniae",0,0,3534,3534
"Prevotella_sp_oral_taxon_306",0,0,3307,3307
"Agromyces_SGB48492",0,0,3271,3271
"Mycobacterium_SGB47061",0,0,3123,3123
"Streptococcus_SGB8118",0,0,2994,2994
"Bacteroides_SGB1854",0,0,2932,2932
"Flavobacterium_chilense",0,0,2892,2892
"Leptotrichia_SGB6059",0,0,2875,2875
"Lysinibacillus_SGB48648",0,0,2866,2866
"Devosia_psychrophila",0,0,2670,2670
"Treponema_SGB3607",0,0,2637,2637
"Campylobacter_SGB19330",0,0,2580,2580
"Porphyromonas_loveana",0,0,2557,2557
"Anaerococcus_sp_Marseille_P2143",0,0,2518,2518
"Campylobacter_SGB19324",0,0,2490,2490
"Bacteroides_SGB58499",0,0,2468,2468
"Bifidobacterium_SGB17233",1.724,0,2449,2449
"Campylobacter_rectus",0,0,2424,2424
"Campylobacter_SGB19338",0,0,2369,2369
"Capnocytophaga_SGB2485",0,0,2328,2328
"Selenomonas_sputigena",0,0,2325,2325
"Fusobacterium_hwasookii",0,0,2308,2308
"Peptoniphilus_obesi",0,0,2289,2289
"Eubacterium_SGB26893",0,0,2279,2279
"Campylobacter_concisus",0,0,2268,2268
"Rhizobium_SGB50825",0,0,2254,2254
"Streptococcus_SGB8029",0,0,2242,2242
"Campylobacter_SGB19433",0,0,2221,2221
"Treponema_SGB3603",0,0,2189,2189
"Leptotrichia_shahii",0,0,2138,2138
"Solobacterium_SGB6835",0,0,2129,2129
"Campylobacter_SGB19352",0,0,2117,2117
"Haemophilus_influenzae",0.626,0,2104,2104
"Lachnoanaerobaculum_SGB4492",0,0,2039,2039
"Bacillus_sp_LF1",0,0,2038,2038
"Mobiluncus_mulieris",0,0,1987,1987
"Peptoniphilus_catoniae",0,0,1987,1987
"Campylobacter_SGB19328",0,0,1965,1965
"Prevotella_SGB1552",0,0,1954,1954
"Porphyromonas_circumdentaria",0,0,1930,1930
"Prevotella_oulorum",0,0,1926,1926
"Oribacterium_SGB5281",0,0,1924,1924
"Streptococcus_intermedius",0,0,1919,1919
"Escherichia_coli",0,0,1897,1897
"Gemella_morbillorum",0,0,1826,1826
"Actinomyces_SGB17141",0,0,1806,1806
"Capnocytophaga_sp_oral_taxon_878",0,0,1792,1792
"Solobacterium_SGB6830",0,0,1745,1745
"Prevotella_sp_P2_180",0,0,1730,1730
"Myroides_indicus",0,0,1728,1728
"Lactobacillus_furfuricola",0,0,1722,1722
"Selenomonas_SGB5896",0,0,1709,1709
"Fusobacterium_SGB6017",0,0,1704,1704
"Gemella_SGB7304",0,0,1696,1696
"Porphyromonas_gingivalis",0,0,1692,1692
"Prevotella_SGB1512",0,0,1690,1690
"Treponema_denticola",0,0,1688,1688
"Arcobacter_suis",0,0,1688,1688
"Fusobacterium_periodonticum",0,0,1687,1687
"Prevotella_sp_S7_1_8",0,0,1679,1679
"Peptoniphilus_sp_ChDC_B134",0,0,1676,1676
"Lactobacillus_gasseri",0,0,1663,1663
"Porphyromonas_SGB1980",0,0,1640,1640
"Lactococcus_sp_S_13",0,0,1636,1636
"Lactobacillus_nenjiangensis",0,0,1632,1632
"Peptoniphilus_sp_Marseille_P3761",0,0,1627,1627
"Fusobacterium_SGB6006",0,0,1622,1622
"Mycobacterium_tuberculosis",0,0,1621,1621
"Shewanella_canadensis",0,0,1600,1600
"Nocardioides_SGB48228",0,0,1590,1590
"Bulleidia_extructa",0,0,1581,1581
"Finegoldia_SGB6690",0,0,1575,1575
"Clostridium_SGB5112",0,0,1564,1564
"Prevotella_nigrescens",0,0,1560,1560
"Prevotella_ihumii",0,0,1553,1553
"Acinetobacter_guillouiae",0,0,1530,1530
"Prevotella_aurantiaca",0,0,1515,1515
"Streptococcus_SGB8012",0,0,1515,1515
"Ruminococcus_SGB4856",0,0,1509,1509
"Campylobacter_SGB19361",0,0,1508,1508
"Prevotella_melaninogenica",0,0,1506,1506
"Gemella_haemolysans",0,0,1505,1505
