"","diseaseType","sampleType","datasetName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"51","Prostate Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",67,632,"SolidTissueNormal","PrimaryTumor",0.852645502645503,0.972157901646834
"52","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",155,1688,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.942644784327204,0.615461244490462
"53","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",51,1792,"Uveal Melanoma","OtherCancerType",0.993171942892613,0.845817873590753
"54","Stomach Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",113,850,"SolidTissueNormal","PrimaryTumor",0.874628639334522,0.979076575652447
"55","Thyroid Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",79,655,"SolidTissueNormal","PrimaryTumor",0.870896184560781,0.981395012386455
"56","Adrenocortical Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",79,11485,"Adrenocortical Carcinoma","OtherCancerType",0.778279800593172,0.0193514183613163
"57","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",548,11016,"Bladder Urothelial Carcinoma","OtherCancerType",0.747776161932321,0.188091826846264
"58","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",605,10959,"Brain Lower Grade Glioma","OtherCancerType",0.772712527334368,0.162503118478728
"59","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",1196,10368,"Breast Invasive Carcinoma","OtherCancerType",0.782924967216943,0.287904467456451
"60","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",372,11192,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.759490053055737,0.17213568525737
"61","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"62","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",409,11155,"Colon Adenocarcinoma","OtherCancerType",0.782778311269634,0.323870174088536
"63","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",253,11311,"Esophageal Carcinoma","OtherCancerType",0.993028784752923,0.739959309205403
"64","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",225,11339,"Glioblastoma Multiforme","OtherCancerType",0.994378299622148,0.89764809096997
"65","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",167,11397,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.991190406551623,0.79621589712186
"66","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",116,11448,"Kidney Chromophobe","OtherCancerType",0.791000034259481,0.178412333942262
"67","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",1015,10549,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.869984176425577,0.643721911121046
"68","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",321,11243,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.727761096283116,0.0597013184491332
"69","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",416,11148,"Liver Hepatocellular Carcinoma","OtherCancerType",0.822435946905387,0.183310111052611
"70","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",653,10911,"Lung Adenocarcinoma","OtherCancerType",0.802369816760284,0.305240499194199
"71","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",538,11026,"Lung Squamous Cell Carcinoma","OtherCancerType",0.74136736115937,0.101231243385112
"72","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",54,11510,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.719682160440197,0.0203448306171606
"73","Mesothelioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",86,11478,"Mesothelioma","OtherCancerType",0.698472262561719,0.0134487664082864
"74","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"75","Pancreatic Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pancreatic Adenocarcinoma","OtherCancerType",0.71348379789497,0.028518872718
"76","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.778960744771955,0.0415964705434586
"77","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"78","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"79","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"80","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"81","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"82","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"83","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"84","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"85","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
"86","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"87","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"88","Adrenocortical Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",79,11485,"Adrenocortical Carcinoma","OtherCancerType",0.778279800593172,0.0193514183613163
"89","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",548,11016,"Bladder Urothelial Carcinoma","OtherCancerType",0.747776161932321,0.188091826846264
"90","Breast Invasive Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",20,200,"Stage4","Stage1",0.291666666666667,0.0694980957667711
"91","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",1196,10368,"Breast Invasive Carcinoma","OtherCancerType",0.782924967216943,0.287904467456451
"92","Colon Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",53,69,"Stage4","Stage1",0.493333333333333,0.396858903732056
"93","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"94","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",409,11155,"Colon Adenocarcinoma","OtherCancerType",0.782778311269634,0.323870174088536
"95","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",253,11311,"Esophageal Carcinoma","OtherCancerType",0.993028784752923,0.739959309205403
"96","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"97","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",167,11397,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.991190406551623,0.79621589712186
"98","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",116,11448,"Kidney Chromophobe","OtherCancerType",0.791000034259481,0.178412333942262
"99","Lung Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",39,343,"Stage4","Stage1",0.5650623885918,0.105392549476523
"100","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",321,11243,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.727761096283116,0.0597013184491332
"101","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",416,11148,"Liver Hepatocellular Carcinoma","OtherCancerType",0.822435946905387,0.183310111052611
"102","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",653,10911,"Lung Adenocarcinoma","OtherCancerType",0.802369816760284,0.305240499194199
"103","Rectum Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",25,25,"Stage1","Stage1",0.306122448979592,0.562570875673316
"104","Rectum Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",25,25,"Stage4","Stage4",0.306122448979592,0.562570875673316
"105","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",54,11510,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.719682160440197,0.0203448306171606
"106","Stomach Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",93,124,"Stage4","Stage1",0.803803803803804,0.784354310335428
"107","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"108","Thyroid Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",76,363,"Stage4","Stage1",0.499158249158249,0.164900801915709
"109","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.778960744771955,0.0415964705434586
"110","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"111","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"112","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"113","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"114","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"115","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"116","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"117","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"118","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
"119","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"120","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"121","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,622,"Bladder Urothelial Carcinoma","OtherCancerType",0.843548387096774,0.422148940169053
"122","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",82,576,"Breast Invasive Carcinoma","OtherCancerType",1,1
"123","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Colon Adenocarcinoma","OtherCancerType",0.897102306327617,0.481632401286751
"124","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",30,628,"Esophageal Carcinoma","OtherCancerType",0.958037825059102,0.524325049216228
"125","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",31,627,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.949763593380615,0.522182669146338
"126","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"127","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",409,11155,"Colon Adenocarcinoma","OtherCancerType",0.782778311269634,0.323870174088536
"128","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",253,11311,"Esophageal Carcinoma","OtherCancerType",0.993028784752923,0.739959309205403
"129","Liver Hepatocellular Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,637,"Liver Hepatocellular Carcinoma","OtherCancerType",0.978184991273996,0.426255848491224
"130","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",66,592,"Lung Adenocarcinoma","OtherCancerType",0.933095450490633,0.739550011802057
"131","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",116,11448,"Kidney Chromophobe","OtherCancerType",0.791000034259481,0.178412333942262
"132","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",33,625,"Rectum Adenocarcinoma","OtherCancerType",0.827688651218063,0.370568061348779
"133","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",74,584,"Skin Cutaneous Melanoma","OtherCancerType",0.896883116883117,0.540035302435313
"134","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Stomach Adenocarcinoma","OtherCancerType",0.958604376108811,0.765623872866594
"135","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",89,569,"Thyroid Carcinoma","OtherCancerType",0.934615384615385,0.629088176701158
"136","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,637,"Uveal Melanoma","OtherCancerType",0.974694589877836,0.44493150491536
"137","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",54,11510,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.719682160440197,0.0203448306171606
"138","Stomach Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",93,124,"Stage4","Stage1",0.803803803803804,0.784354310335428
"139","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"140","Thyroid Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",76,363,"Stage4","Stage1",0.499158249158249,0.164900801915709
"141","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.778960744771955,0.0415964705434586
"142","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"143","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"144","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"145","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"146","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"147","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"148","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"149","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"150","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
